year,month,day,hour,location,stateOrProvince,country,continent,title,description,locale,duration,evidenceAndSpecialEffectsFlags,typeOfUfoCraftFlags,latitude,apparentUfoOccupantActivitiesFlags,placesVisitedAndThingsAffectedFlags,elevation,miscellaneousDetailsFlags,relativeAltitude,longitude,locationFlags,ref,refIndex,strangeness,credibility,miscellaneousFlags,aliensMonstersFlags
1966,3,30,5,"MARINETTE,WI",Wisconsin,USA,North America,BBK#UNK,"OBS=J.ERDMANN
NLT LANDS 8'/HOUSE-WINDOW
MOVES TO LAWN",Farmlands,70,NA,"Nightlights, Probe",45.1,NA,Apparent Landing,185,"Military investigation, Blue Book",NA,87.63,"Map, Ground, Civilian",119,82,6,7,NA,No occupant
1994,12,7,22,"SR144 nr PERRY,IA",Iowa,USA,North America,1/CAR,"CRESCENT-ORB HVRS
CHANGES SHAPE+SIZE
GROWS
VANISHES",Road + rails,3,NA,Saucer,41.83,NA,NA,309,Camouflage,NA,94.1,"Map, Ground, Civilian",60,307,7,6,"News, Oddity",No occupant
1956,1,19,NA,"HORNSBY,NSW",NSW,Australia,Oceania,12M SCR HVRS/5mins,"GREEN VAPOR/PORT/BTM
SHOOTS >>SE twrd SYDNEY",Residential,5,Technical,Saucer,-33.7,Abduction,NA,NA,NA,NA,-151.09,"Map, Ground, Civilian",140,604,7,6,News,No occupant
1973,12,13,23,"ESCONDIDO,CA",California,USA,North America,2/CAR STOP,"10M SLNT OVOID on ROAD
PULSING GLOW
 2.5M +>>W",Road + rails,1,NA,"Saucer, Cigar",33.11,NA,Apparent Landing,201,NA,0,117.08,"Map, Ground, Civilian",24,890,7,6,NA,No occupant
1978,12,NA,NA,"SE/SANTA CRUZ,BRZ",RGN,Brazil,South America,CYL OVHD,"DOOR OPENS
PSH INSIDE
OBS PULLEDGRABS TREE
ESCAPES",Unknown,10,Technical,Cigar,-6.83,Abduction,Human affected,175,NA,3,35.67,"Map, Ground, Civilian",123,254,10,6,NA,Pseudo-Human
1956,1,8,7,"NW/BEDFORD,IN",Indiana,USA,North America,SVRL GOC OBS++,"GRY OVOID/DISK FLASHES
>UP+DN
MIL PLANES CHASE",Farmlands,160,NA,Saucer,38.88,NA,NA,225,NA,NA,86.5,"Map, Ground, Military, Civilian, High quality observer(s)",140,602,6,10,News,No occupant
1974,7,4,20,"OLNEY,MD",MLD,USA,North America,GRY MTLC OBJ > SLOW JUST OVR TREES,"WINDY WHIPPING NOISE
NFD",Residential,1,NA,"Saucer, Cigar",39.16,NA,NA,165,Sound,12,77.07,"Map, Ground, Civilian",24,897,6,6,NA,No occupant
1965,7,18,10,"CANBERRA Apt,AUST",Australian Capital Territory,Australia,Oceania,ATCs+MANY,"MTLC DISK HVRS
RFI/MARINER-4 MARS SIGNALS
/r211p41",Metropolis,40,"Electro-Magnetic Effect, Technical",Saucer,-35.37,Observation,NA,NA,Camouflage,NA,-149.16,"Map, Ground, Military, Civilian, High quality observer(s)",47,112,7,11,Scientist,No occupant
1974,4,19,22,"PUERTO de S.MARIA,SP",CDZ,Spain,Western Europe,CAR EMEs AS IT NEARS SCR OVR PINE GROVE,OK WHEN SCR FLIES,Coastlands,5,Electro-Magnetic Effect,Saucer,36.58,NA,Vehicle affected,NA,NA,NA,6.23,"Map, Ground, Coast, Civilian",50,49,8,8,NA,No occupant
1994,9,1,23,"GILA BEND,AZ",Arizona,USA,North America,2/CAR+SEP.COP/I8,"DOMED SCR W/ARCHED PORTS OVR FWY
4 MORE APPEAR",Road + rails,10,NA,Saucer,32.97,Observation,"Vehicle affected, Apparent Landing",224,"Other government agencies, Coverup",NA,112.71,"Map, Ground, Civilian, High quality observer(s)",60,305,7,8,News,No occupant
1980,10,12,3,"WEST FREUGH RAF,SCOTL",Scotland,Great Britain and Ireland,Western Europe,3 MIL COPS,"ORANGE OVOID OVR BASE
>>S OUT TO SEA",Military base,1,NA,Saucer,54.84,Observation,"Vehicle affected, Building or ANY MANMADE STRUCTURE",12,Military investigation,NA,4.94,"Map, Ground, Coast, Military, High quality observer(s)",82,100,6,8,NA,No occupant
1988,12,19,3,"SKORPING,DK",DMK,Scandanavian and Finland,Western Europe,1 OBS,"BIG GLOW
STATIC ELECTRICITY
GLOWING RING HVRS/FIELD",Farmlands,20,Electro-Magnetic Effect,Saucer,56.83,NA,Apparent Landing,NA,NA,NA,-9.9,"Map, Ground, Civilian",146,12,7,6,NA,No occupant
1968,3,~4,NA,"TULLY,QLD,AUS",QLD,Australia,Oceania,8MM CAMERA TO CATCH UFOS/EME WORKS!,"FILM LOST/MAIL?
/r120p170",Wetlands,112,"Photos, Electro-Magnetic Effect, Traces, Technical",Saucer,-18.02,NA,NA,NA,"Military investigation, Coverup",NA,-145.96,"Map, Ground, Coast, Civilian, High quality observer(s)",195,183,7,10,NA,No occupant
2001,6,10,11,"N/SEATTLE,WA",Washington,USA,North America,EX-NAVY/AIRLINER,"BLK BOX HVRS ovr UNIVERSITY CAMPUS
SHOOTS >>NE",In-flight,1,NA,Delta,47.66,Observation,Building or ANY MANMADE STRUCTURE,110,NA,NA,122.3,"Map, Airborne, Civilian, High quality observer(s)",170,126,6,7,NA,NA
1983,3,22,~20:00,"LURGAN,N.IRE",Northern Ireland,Great Britain and Ireland,Western Europe,CIRCLE/WHT LITES,"RECTANGULAR RED LITES/ENDS
BUZZES CAR/COUNTRY RD",Farmlands,2,NA,"Saucer, Nightlights",54.46,Observation,Vehicle affected,83,Military investigation,NA,6.33,"Map, Ground, Civilian",169,13,6,7,NA,No occupant
1952,9,14,20,"SANTA BARBARA,CA",California,USA,North America,BBK#2086,"C54 PILOT
BLU-WHT NLT S+L/30sec
THEN SHOOTS  FAST",In-flight,1,NA,Nightlights,34.43,NA,NA,15,"Military investigation, Blue Book",NA,119.7,"Map, Ground, Coast, Airborne, Military",185,17,5,6,NA,No occupant
1906,10,7,17,"INDIANAPOLIS,IN",Indiana,USA,North America,NMRS OBS,"CGR RISES/SE HORIZON
SUDDEN TURN >>E+away
/Bullard'82",Metropolis,3,NA,Cigar,39.77,NA,NA,215,NA,NA,86.1,"Map, Ground, Civilian, High quality observer(s)",65,6,6,10,News,No occupant
1960,11,24,10,"nr DEFIANCE,OH",Ohio,USA,North America,PHYSICS PROF+1/CAR,"SLNT 30M BLK DISK >NW
CLEAR EDGES
/r242p54",Road + rails,2,NA,Saucer,41.21,NA,NA,210,NA,NA,84.43,"Map, Ground, Civilian, High quality observer(s)",210,749,6,7,Scientist,No occupant
1967,4,10,NA,"HOUMA,LA",Louisiana,USA,North America,BBK,"8 OBS
CE2+RDR CONFIRM
CLOUDY WEATHER
NFD",Farmlands,1,Radar,Nightlights,29.58,NA,NA,4,"Military investigation, Blue Book",NA,90.71,"Map, Ground, Coast, Military, Civilian, High quality observer(s)",56,93,5,9,NA,No occupant
1962,7,17,NA,"MOHAVE DESERT,CA",California,USA,North America,2nd X15/WORLDS RECORD ALTITUDE/314K' FILMS 5-8 UFOS PACING!,NA,In-flight,3,Photos,Saucer,36.83,NA,NA,500,"Military investigation, Blue Book",NA,117.67,"Map, Airborne, Military, High quality observer(s)",160,259,6,10,NA,No occupant
1956,10,10,22,"VILLAMASSARGIA,SARDINIA",Cagliari,Italy,Western Europe,1 OBS,"1+3 ORBS N>S
CIRCLE ARRIVING 60'CGR
/FSR v9#2p3",Town & city,30,NA,"Saucer, Cigar, Probe",39.28,NA,NA,NA,NA,NA,-8.63,"Map, Ground, Civilian",114,45,6,6,NA,No occupant
1972,8,22,2,"SUSSEX,WI",Wisconsin,USA,North America,1/CAR/EMEs,"ORG 8M SCR/LO alt
FUSES BLOWN
ENGINE OK AFTER
police rpt",Road + rails,1,Electro-Magnetic Effect,Saucer,43.13,NA,Vehicle affected,283,Other government agencies,NA,88.22,"Map, Ground, Civilian",210,873,7,6,NA,No occupant
1968,11,14,22,"ZAFRA,SP",Badajoz,Spain,Western Europe,ODD PSH/ROADSIDE,"CAR EMEs
WATCH BREAKS MAINSPRING
WINDY SOUND/NO WIND",Road + rails,2,"Electro-Magnetic Effect, Traces, Technical",No UFO,38.43,NA,Vehicle affected,NA,Sound,NA,6.41,"Map, Ground, Civilian",50,21,8,7,NA,Pseudo-Human
1975,9,14,22,"SE/DARRINGTON,WA",Washington,USA,North America,CAR O/O/CONTROL,"MST
ABD REGRESSED LATER
TIME+GAS DONT TALLY",Mountains,50,Electro-Magnetic Effect,Saucer,48.08,"Missing time, Abduction",Vehicle affected,167,Camouflage,NA,121.44,"Map, Ground, Civilian",160,269,9,7,NA,NA
1951,8,27,20,"VANDALIA,IL",Illinois,USA,North America,2 PILOTS+ATC,"LRG ORG NLT BUZZES PLANE
>W
RETURNS+CCLS PLANE+TOWN",In-flight,3,NA,Nightlights,38.96,Observation,"Vehicle affected, Building or ANY MANMADE STRUCTURE",164,"Military investigation, Blue Book",NA,89.09,"Map, Ground, Airborne, Civilian, High quality observer(s)",135,238,5,9,NA,No occupant
1959,4,24,NA,"SALVADOR,BRZ",Bahia,Brazil,South America,DOMED SCR W/SYMBOLS/UNDER,"TLP=STOP ATOM TESTS
4 CLR FOTOS
/r79p16",Coastlands,10,"Photos, Electro-Magnetic Effect, Technical",Saucer,-12.97,Missing time,Vehicle affected,1,NA,NA,38.53,"Map, Ground, Coast, Civilian",210,715,10,4,"Telepathy, Hoax, Contactee",No occupant
1991,4,30,20,"WALTON-on-the-NAZE,ESSEX",England,Great Britain and Ireland,Western Europe,3 OBS,"SILENT 80' UFO
2 ROWS/WINDOWS
500'alt 750' OUT",Offshore,5,NA,"Saucer, Cigar",51.84,Observation,NA,NA,NA,NA,-1.26,"Map, Ground, Coast, Civilian, High quality observer(s)",124,149,6,8,NA,No occupant
1952,8,30,15,"TAMPICO,VERACRUZ,MEX",VRC,Mexico,North America,MANY OBS,"7M SCR HVRS/5min
THEN SHOOTS >>N/AMAZING SPEED",Coastlands,5,NA,Saucer,22.21,NA,NA,2,"Military investigation, Blue Book, Government Security Agency involvement",NA,97.88,"Map, Ground, Coast, Military, Civilian, High quality observer(s)",136,480,6,11,News,No occupant
1979,9,9,21,"CHANGDE co,HUNAN,CH",HUN,Red China,Asia Mainland,MANY/OUTDOOR MOVIE,"OVOID N>>SW
SHOOTS RAYS
est 50M SIZE",Farmlands,3,NA,Saucer,29/08/2017,NA,NA,NA,NA,NA,-111.67,"Map, Ground, High quality observer(s)",208,132,7,12,Wave,No occupant
1959,3,10,4,60mi SSE/Gd.BAHAMA Aux.AFB,BAH,Caribbean area,Oceania,RDR BLIP CCLs 2X+ Fig-8 MNVR by missile test!,>NE,Offshore,25,Radar,Probe,25.74,Observation,Vehicle affected,0,"Military investigation, Blue Book",NA,78.17,"Map, Ground, Coast, Military, High quality observer(s)",143,175,6,9,Misidentification,No occupant
1976,12,26,19,"NW/WHITEHORSE,YKN",YKN,Canada,North America,AMBULANCE PACED/BRILL OVOID,"ELECTRICS EME
RESPONDS/LITES",Mountains,10,Electro-Magnetic Effect,Saucer,60.78,Observation,Vehicle affected,710,NA,NA,135.11,"Map, Ground, Civilian",210,942,6,7,News,No occupant
1969,6,1,2,"BACAU><ROMAN,ROMANIA",Bacău,Romania,Eastern Europe,3 OBS,"FOOTBALL SIZE OBJ GOES > N
90-TURN>>W
LVS TRAIL",Farmlands,1,Technical,Probe,46.54,Observation,NA,NA,NA,NA,-26.93,"Map, Ground, Civilian, High quality observer(s)",84,187,6,8,NA,No occupant
1953,4,7,NA,"PALEMBANG,SUMATRA,INS",SMT,Indonesia,Asia Pacific,3+1 OBS,"OVOID LARGER/MOON >NW/5mins S/L
ABS SLNT
GLOWS",Coastlands,5,NA,"Saucer, Fireball",-2.92,NA,NA,20,"Military investigation, Other government agencies",NA,-104.76,"Map, Ground, Military, Civilian, High quality observer(s)",137,529,6,9,Wave,No occupant
1959,6,3,NA,"BLOOMINGTON,IN",Indiana,USA,North America,TORPEDO-CGR HOVERS,"DIVES OUT-OF-SIGHT
TIME UNK
NFD
/r78p184",Forest,2,Technical,Cigar,39.17,NA,NA,168,NA,NA,86.52,"Map, Ground, Civilian",242,137,6,6,NA,No occupant
1968,4,NA,~19:00,"off Le BRUSC,FR",VAR,France,Western Europe,3/BOAT,"PLAIN SLNT SLVR OVOID HVRS/20min
TURNS HZNTL
VANISHES",Offshore,25,NA,Saucer,43.08,NA,NA,NA,NA,NA,-5.73,"Map, Ground, Coast, Civilian, High quality observer(s)",156,14,6,8,NA,No occupant
1992,9,3,6,"VALRAS-PLAGE,FR",HRL,France,Western Europe,2/BEACH,"20 NLTS in 2 SQR FORMns HVR OFFSHORE
gone by 0650hrs",Coastlands,10,NA,"Delta, Nightlights",43.24,NA,NA,NA,NA,NA,-3.29,"Map, Ground, Coast, Civilian",194,313,4,7,Wave,No occupant
1974,6,4,21,"WOODCLIFF LAKE,NJ",New Jersey,USA,North America,ABC NEWSMAN,"GARISH SLNT FERRIS WHEEL/TREETOP LVL
/r201p108",Residential,2,NA,Saucer,41.02,NA,NA,76,NA,12,74.04,"Map, Ground, Civilian",14,280,7,6,News,No occupant
1948,1,6,NA,"CHEHALIS,WA",Washington,USA,North America,BIRD-MAN HVRS OVR BARN,RETRACTS WINGS+SHOOTS/USAF Rpt.,Farmlands,4,Technical,No UFO,46.66,Observation,Building or ANY MANMADE STRUCTURE,69,Camouflage,10,122.96,"Map, Ground, Civilian",53,117,10,3,Oddity,"Monster, Figure"
1950,9,NA,NA,"DU BOIS,PA",Pennsylvania,USA,North America,80 Natl GUARDSMEN,"30'ROTATING MTL SCR/4K'alt ovr AIRPORT
VPR TRAIL",Oil & coal,1,NA,Saucer,41.11,NA,NA,163,NA,1200,78.76,"Map, Ground, Military, High quality observer(s)",134,321,6,11,NA,No occupant
1955,8,20,~12:00,"ROCKY MTNS,CO",Colorado,USA,North America,NY>>LOS ANGELES,"25/AIRLINER
MTL UFO PACES/45min
NOT ON RDR!",In-flight,45,Technical,Saucer,38,Observation,Vehicle affected,2700,Camouflage,NA,107,"Map, Ground, Airborne, Civilian, High quality observer(s)",139,253,7,11,NA,No occupant
1993,6,23,22,"FLAMBOROUGH,ONT",Ontario,Canada,North America,PHYSICS MAJOR+1,"LRG DIAMND W/MANY STEADY LITES
200'alt
E>>W",Residential,1,NA,Delta,43.33,Ray,NA,83,NA,60,79.88,"Map, Ground, Civilian, High quality observer(s)",60,299,7,8,"Scientist, News",No occupant
1962,4,20,15,"SCARBOROUGH,ON",Ontario,Canada,North America,2/BINOCS,"MTLC SCR HVRS/TILT
ABS.STILL/LITE WINDS
SHOOTS >>S",Residential,7,NA,Saucer,43.73,Observation,Vehicle affected,124,NA,NA,79.2,"Map, Ground, Civilian",252,33,7,7,NA,No occupant
1996,8,26,20,"PIRACICABA,BRZ",SPL,Brazil,South America,2 OBS,"4M SCR 
RAMP DROPS
3-50cm OIDS W/BLINKING PENLITES EXIT",Residential,10,"Traces, Technical",Saucer,-22.72,NA,Apparent Landing,542,NA,0,47.64,"Map, Ground, Civilian",236,28,9,7,NA,Humanoid
1952,4,18,4,"CORNER BROOK,NFLD",Newfoundland,Canada,North America,BBK#1129+1131,"YEL.ORB CIRCLES TOWN 2X
>>NW
BACK 18hrs LATER",Forest,3,NA,Saucer,48.94,NA,NA,99,"Military investigation, Blue Book",NA,57.97,"Map, Ground, Coast, Civilian",136,151,6,7,Misidentification,No occupant
1955,11,20,17,"LAKE CITY,TN",Tennessee,USA,North America,BBK#3862,"SVRL OBS
2 SEMI-XPARENT OVOIDS
ERRATIC
RESTRICTED AREA",Military base,15,Technical,"Saucer, Cigar",36.21,Observation,"Nuclear, Building or ANY MANMADE STRUCTURE",261,"Military investigation, Blue Book, Camouflage",NA,84.16,"Map, Ground, Military, Civilian, High quality observer(s)",78,175,6,9,NA,No occupant
1947,7,4,20,"LOS ANGELES,CA",California,USA,North America,AIRCRAFT INSPECTOR,"""LIMA-BEAN"" FLIES OVR ELYSIAN PARK
CLR DOME",Metropolis,1,Technical,"Saucer, Delta",34.08,NA,NA,100,NA,NA,118.23,"Map, Ground, Civilian, High quality observer(s)",187,287,7,7,News,No occupant
1868,11,14,0,"MEDFORD,MA",Massachusetts,USA,North America,ASTRON.TROUVELOT,"5 HRS/METEORS
ONE/90�TURN
SOME CURVE+REVERSE!",Residential,44,NA,Nightlights,42.41,NA,NA,4,NA,NA,71.09,"Map, Ground, Civilian, High quality observer(s)",97,70,5,7,Scientist,No occupant
1995,8,15,5,"VASHON ISL,WA",Washington,USA,North America,COP/EX-PILOT,"BLU-GRN DISK W>>E BELOW CLOUDS
LITES CLOUDS",Coastlands,1,NA,Saucer,47.41,NA,NA,100,Other government agencies,NA,122.48,"Map, Ground, Coast, Civilian, High quality observer(s)",220,121,6,7,NA,No occupant
1971,2,1,19,"E/DOUGLAS,GA",Georgia,USA,North America,2/PIPER PA-28 PLANE,"LRG RED BALL STAYS OFF RIGHT WING ..
NFD",In-flight,2,NA,"Saucer, Probe",31.51,Observation,Vehicle affected,78,NA,NA,82.7,"Map, Airborne, Civilian",150,47,6,7,NA,No occupant
1967,3,22,22,"WAPELLO,IA",Iowa,USA,North America,BBK#11541,"OBS=EUTSLER
DERBY-HAT W/ANTENNAS+LITES+FLAT PANEL/WINDOWS",Farmlands,1,NA,Probe,41.18,Observation,Human affected,179,"Military investigation, Blue Book",NA,91.19,"Map, Ground, Civilian",160,103,6,6,NA,No occupant
1973,4,22,22,"CAZALLA dl SIERRA,SP",SVL,Spain,Western Europe,NLTS CROSS ROAD >S as if ATTACHED,"CAR/EMEs
TRCS
/r50p40",Pasture,7,"Electro-Magnetic Effect, Traces, Technical","Saucer, Nightlights",37.91,NA,"Vehicle affected, Apparent Landing",NA,NA,NA,5.74,"Map, Ground, Civilian",193,37,7,9,NA,No occupant
1965,9,NA,19,"ARTEGNA,ITL",UD,Italy,Western Europe,2 SOLDIERS/RR TRACKS,"2M POLYGON EXITS WOODS 4M away!
PULSATES",Road + rails,1,NA,Saucer,46.23,NA,NA,NA,Camouflage,NA,-13.11,"Map, Ground, Military",39,57,7,7,NA,No occupant
1965,1,15,22,"nr WILMOT,NH",New Hampshire,USA,North America,CAR EMES,"LITES OUT
OBS HEARS WHINE
NLT >> OVR
/r3p52+/r141+/r41",Road + rails,1,Electro-Magnetic Effect,Nightlights,43.64,NA,Vehicle affected,220,Sound,NA,72.18,"Map, Ground, Civilian",210,783,5,6,News,No occupant
1959,6,6,22,"NOURLANGE,AUSTRL",NTR,Australia,Oceania,SVRL/SAFARI,"RED ""SCR""  FAST
HVRS/30sec
 AGAIN
LITES CLOUD",Rainforest,2,NA,Saucer,-12.76,NA,Apparent Landing,NA,NA,NA,-132.67,"Map, Ground, Civilian, High quality observer(s)",143,246,6,9,News,No occupant
1974,4,14,21,"VEDRIN,BELG",Belgium,"Belgium, Netherlands and Luxembourg",Western Europe,4+2 OBS,"SLNT WHT 50M SCR GLOWS/250M alt
>>100kph SE>>NW
/LDLN#137",Residential,2,Electro-Magnetic Effect,Saucer,50.47,NA,NA,NA,NA,NA,-4.87,"Map, Ground, Civilian, High quality observer(s)",186,20,7,9,Wave,No occupant
1990,11,5,19,"HAMBACH,FR",MSL,France,Western Europe,1+BOY,"LRG DARK ORB HVRS
LIT WINDOWS ALL AROUND
NLTS PASS NEAR",Residential,2,NA,"Saucer, Nightlights, Probe",49.08,NA,NA,NA,NA,NA,-7.07,"Map, Ground, Civilian",238,101,6,6,News,No occupant
1971,9,20,22,"OJEBYN,SWD",NRB,Scandanavian and Finland,Western Europe,ENGINEER ABD W/CAR,"LANDS WAY AHEAD
UFO>S
NO EXAMS
/r215p137/r156#10",Residential,20,NA,Saucer,65.33,Abduction,"Human affected, Vehicle affected, Apparent Landing",NA,NA,NA,-21.37,"Map, Ground, Civilian, High quality observer(s)",193,34,9,6,NA,NA
1995,8,~12,23,"nr AABENRAA,DK",DMK,Scandanavian and Finland,Western Europe,METEOR WATCHERS,"BRITE NLT STOPS/2min
+STOPS AGAIN
DROPS >>N",Residential,3,NA,Nightlights,55.04,NA,NA,NA,NA,NA,-9.4,"Map, Coast, Civilian",146,16,5,7,NA,No occupant
1957,11,14,2,"PULASKI,WI",Wisconsin,USA,North America,ANIMALS PANIC,"60M TOP-SCR HVRS
BLU BEAM SWEEPS
 to CLOUDS SILENTLY",Farmlands,2,NA,Saucer,44.67,"Observation, Ray","Dirt, Plants affected or sampled, Animals affected, Building or ANY MANMADE STRUCTURE",239,NA,NA,88.24,"Map, Ground, Civilian",142,609,6,6,NA,No occupant
1954,6,7,NA,"WASHINGTON,DC",DC,USA,North America,local news only,"RND OBJ GLOWS
SHARP TURNS/AIRLINER SPEED
1km alt",Farmlands,15,"Radiation, Electro-Magnetic Effect, Traces, Technical",Saucer,38.94,NA,"Dirt, Plants affected or sampled, Vehicle affected, Building or ANY MANMADE STRUCTURE, Apparent Landing",8,Military investigation,1000,77.03,"Map, Ground, Civilian",210,37,9,8,Oddity,No occupant
1956,3,15,NA,"LA PUNA REGN,ARG",Juhuy,Argentina,South America,SVRL CGRS/AMAZING MNVRS,"WINGLESS+SLNT
PHOTOS TAKEN not shown",Mountains,15,Photos,Cigar,-24.17,NA,NA,3500,NA,NA,65.33,"Map, Ground, Civilian, High quality observer(s)",140,623,6,10,News,No occupant
1967,9,19,20,"MARIINSKIY,DONETSK,UKR",DNT,Ukraine,Eastern Europe,SCR+NLTS BUZZ PLANE/EME,"ENGINE OUT
FARM LITES FAIL
>>NE",Farmlands,2,Electro-Magnetic Effect,"Saucer, Nightlights",47.44,Observation,"Vehicle affected, Building or ANY MANMADE STRUCTURE",NA,NA,NA,-37.6,"Map, Ground, Airborne, Civilian",58,37,7,8,Wave,No occupant
1952,8,14,21,"CELENDIN,PERU",CEL,Peru,South America,ENGINEER,"2 SCRS CONVERGE/Opp.Dirs ovr IRRIGATION PRJCT
>NE slow",Farmlands,2,NA,Saucer,-6.88,Observation,Building or ANY MANMADE STRUCTURE,2987,NA,NA,78.14,"Map, Civilian, High quality observer(s)",136,92,6,6,NA,No occupant
1993,9,~15,NA,"NEWPORT,WALES",WLS,Great Britain and Ireland,Western Europe,2 SEP SIGHTINGS,"GREY ""MILK-BOTTLE""/NO LITES + SCR W LITES AROUND",Town & city,1,NA,"Saucer, Cigar",51.58,Ray,NA,1,NA,NA,2.98,"Map, Ground, Coast, Civilian",60,295,7,9,News,No occupant
1994,11,24,17,"N112/MAUREILHAN,FR",HTL,France,Western Europe,SAME TEACHER,PENTAGONAL BOX W/5 PORTS SEEN,Road + rails,1,NA,"Saucer, Delta",43.36,NA,NA,NA,NA,NA,-3.12,"Map, Ground, Civilian",194,329,6,6,NA,No occupant
1966,3,NA,NA,VIETNAM,SVT,Vietnam,Asia Pacific,PFC W.J.McREYNOLDS,UFOS ZIGZAG REPEATEDLY in TRACK/ARTILLERY SHELLS!,Rainforest,232,Historical,"Saucer, Nightlights",15.74,Observation,NA,NA,NA,NA,-108,"Map, Ground, Military",94,0,7,6,NA,No occupant
1952,9,17,4,"KILLEEN,TX",Texas,USA,North America,ARMY BASE GUARD,"10'SCR > SW+>>NE OVHD/300m alt
2 RED FLAMES/REAR",Military base,1,NA,Saucer,31/12/2017,NA,NA,259,"Military investigation, Blue Book",300,97.72,"Map, Ground, Military",136,536,6,6,NA,No occupant
1975,4,29,3,"SAN GERMAN,PR",Puerto Rico,USA,North America,OBJ BEAMS STRONG LITE,"OUTHOUSE BURNS
ANIMALS FRANTIC
/IFS#29",Islands,2,Technical,Saucer,18/08/2017,"Observation, Ray","Animals affected, Building or ANY MANMADE STRUCTURE",60,NA,NA,67.04,"Map, Ground, Civilian",195,270,8,6,NA,No occupant
1981,11,12,18,"GIANITSA+LAINA++,GRC",Greece,Greece and Island nations,Western Europe,MANY OBS,"4-5 DLTS CHANGE SHAPE
GIVE LITE/MANY COLORS",Mountains,30,Technical,"Saucer, Delta",40.78,"Observation, Ray",NA,NA,NA,NA,-22.43,"Map, Ground, Civilian, High quality observer(s)",200,85,7,11,Wave,No occupant
1965,8,10,5,"PARKES,AUSTR",NSW,Australia,Oceania,2 FARMERS,"DOGS BARK
LUMN.SCR HVRS nr RDO-TELESCOPE
BACK NEXT AM",Farmlands,160,NA,"Saucer, Nightlights",-33.17,NA,Animals affected,NA,NA,NA,-148.17,"Map, Ground, Civilian",195,198,6,7,NA,No occupant
1956,11,NA,23,"CYSOING,FR",NRD,France,Western Europe,1/BICYCLE,"30M ALUM. SCR/FIELD REFLECTS MOONLIGHT
OBS SCARED+GOES",Road + rails,1,NA,Saucer,50.57,NA,Apparent Landing,NA,NA,NA,-3.22,"Map, Ground, Civilian",194,96,7,6,NA,No occupant
1965,8,9,NA,"US40 nr MYTON,UT",Utah,USA,North America,TALL ROCKET SHIP W/ROTATING LITE ATOP TAKES OFF AND HOVERS!!.,NA,Pasture,3,Technical,Cigar,40.19,NA,Apparent Landing,1550,NA,0,110.11,"Map, Ground, Civilian",42,17,7,8,NA,No occupant
1954,12,20,NA,"CARRIZAL,VNZL",MDA,Venezuela,South America,SVRL/PICNIC,"2 SCRS MNVR OVR TOWN
STOP/MTNs
>>N twrd LOS TEQUES",Town & city,2,NA,Saucer,10.34,NA,NA,1160,NA,NA,66.98,"Map, Ground, Civilian, High quality observer(s)",138,67,6,8,News,No occupant
1991,7,27,19,"VERO BEACH,FL",Florida,USA,North America,1+6 KIDS,"LITE-GRY 10'BOX W/ANTENNAS >OVR TREETOPS/35mph
DRAWINGS",Residential,1,Technical,Delta,27.63,NA,NA,2,Military investigation,NA,80.4,"Map, Ground, Coast, Civilian, High quality observer(s)",160,287,9,9,Oddity,No occupant
1968,6,19,NA,"EL CHORO,BOLIVIA",ORR,Bolivia,South America,BRITE OBJ ,"THIN FIG EXITS
OBS FAINTS
/r8#910+/FSR'68#5",Pasture,10,NA,"Saucer, Cigar",-18.37,Missing time,"Human affected, Apparent Landing",3676,NA,0,67.2,"Map, Ground, Civilian",213,44,8,6,NA,"Pseudo-Human, Figure"
1954,10,5,16,"PARIS,FR",PRS,France,Western Europe,SVRL OBS,"SLVR DISK LARGER/PLANE
1 sees 'flying wing'
/La Montagne",Metropolis,1,NA,Saucer,48.83,NA,NA,NA,NA,NA,-2.33,"Map, Ground, Civilian, High quality observer(s)",30,125,6,9,"News, Wave",No occupant
1946,7,22,1,"GARDERMOEN AIRFIELD,NORWAY",Norway,Scandanavian and Finland,Western Europe,MIL OBS,"VFAST SLNT CGR/900M alt
FIRE+SPARKS/TAIL",Town & city,1,NA,"Cigar, Fireball",60.21,NA,NA,NA,Military investigation,NA,-11.13,"Map, Ground, Military, Civilian, High quality observer(s)",130,21,6,8,News,No occupant
1957,10,23,3,"12 mi S/LORING AFB,ME",MNE,USA,North America,RDR-VIS/ARMY MAN,"BBK
HUGE UFO no descript
[Nike Base]",Military base,11,Radar,"Cigar, Delta",46.74,NA,NA,230,"Military investigation, Blue Book",NA,67.88,"Map, Ground, Military, High quality observer(s)",141,572,6,8,News,No occupant
1993,10,17,NA,"CONNERSVILLE,IN",Indiana,USA,North America,2 GIRLS,"HUM
FOG EXITS SCR OVHD
NLTS EXIT FOG+CIRCLE FIELD/3min",Farmlands,3,NA,"Saucer, Probe",39.58,Observation,NA,263,"Sound, Camouflage",NA,85.13,"Map, Ground, Civilian",160,321,8,7,NA,No occupant
1958,11,17,11,"COLUMBUS,OH",Florida,USA,North America,DOUBLE DISK SPINS?/hi alt,"STEADILY >N ACROSS SKY
HALF MOONSIZE",Residential,3,NA,Saucer,39.98,NA,NA,240,NA,NA,83.01,"Map, Ground, Civilian",142,612,6,6,NA,No occupant
